id,type,name,translation,file,sounds,error,ini,file_src_dir
-1,PLACE,1,,first1,4,Not found: first1,Audio/NumOther.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Audio/Speech/Number
-1,PLACE,10,10,tenth1,4,Not found: tenth1,Audio/NumOther.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Audio/Speech/Number
-1,RANGE,100,,100.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds
-1,RANGE,1000,,1000.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds
-1,PLACE,11,,eleventh1,3,Not found: eleventh1,Audio/NumOther.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Audio/Speech/Number
-1,PLACE,12,,twelfth1,3,Not found: twelfth1,Audio/NumOther.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Audio/Speech/Number
-1,RANGE,120,,120.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds
-1,PLACE,13,,thirteenth1,0,Not found: thirteenth1,Audio/NumOther.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Audio/Speech/Number
-1,PLACE,14,,fourteenth1,3,Not found: fourteenth1,Audio/NumOther.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Audio/Speech/Number
-1,RANGE,140,,140.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds
-1,PLACE,15,,fifteenth1,3,Not found: fifteenth1,Audio/NumOther.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Audio/Speech/Number
-1,RANGE,150,,150.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds
-1,PLACE,16,,last1,4,Not found: last1,Audio/NumOther.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Audio/Speech/Number
-1,RANGE,160,,160.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds
